model,datetime_utc,latitude_deg_N,longitude_deg_E,f107a,f107_previous_day,ap,altitude_km_MSL,temperature_K,neutral_number_density_cm3,neutral_number_density_ratio_to_sea_level,mass_density_g_cm3,mass_density_ratio_to_sea_level,RREA_Eth_abs_kV_per_m,RREA_Eth_negative_kV_per_m,RREA_Eth_positive_kV_per_m
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.95,277.70322598962264,1.665457158219994e+19,0.673425050230756,0.0008003737272233631,0.673425050230756,191.2527142655347,-191.2527142655347,191.2527142655347
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.0,277.4246397525639,1.6569365964378178e+19,0.6699797741287344,0.0007962789753662056,0.6699797741287343,190.27425585256057,-190.27425585256057,190.27425585256057
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.05,277.14528009988845,1.6484558769979415e+19,0.6665506082167781,0.0007922033706626396,0.6665506082167781,189.30037273356498,-189.30037273356498,189.30037273356498
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.1,276.8651367133178,1.6400148643613751e+19,0.6631374976899043,0.0007881468479762867,0.6631374976899042,188.33104934393282,-188.33104934393282,188.33104934393282
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.15,276.5841994078909,1.6316134219159024e+19,0.6597403873091724,0.0007841093416550059,0.6597403873091723,187.36626999580497,-187.36626999580497,187.36626999580497
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.2,276.3024581322556,1.6232514120064662e+19,0.6563592214139712,0.0007800907855454949,0.6563592214139713,186.4060188815678,-186.4060188815678,186.4060188815678
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.25,276.0199029689595,1.614928695965187e+19,0.652993943934156,0.0007760911130077155,0.652993943934156,185.4502800773003,-185.4502800773003,185.4502800773003
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.3,275.73652413474105,1.6066451341409825e+19,0.6496444984020256,0.0007721102569291301,0.6496444984020256,184.4990375461753,-184.4990375461753,184.4990375461753
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.35,275.452311980821,1.5984005859288224e+19,0.6463108279641515,0.0007681481497387582,0.6463108279641513,183.55227514181902,-183.55227514181902,183.55227514181902
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.4,275.167256993193,1.5901949097986036e+19,0.6429928753930534,0.0007642047234210558,0.6429928753930533,182.60997661162716,-182.60997661162716,182.60997661162716
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.45,274.8813497929135,1.5820279633236582e+19,0.6396905830987262,0.0007602799095296123,0.6396905830987261,181.67212560003824,-181.67212560003824,181.67212560003824
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.5,274.59458113639084,1.5738996032088934e+19,0.6364038931400187,0.0007563736392006768,0.6364038931400186,180.7387056517653,-180.7387056517653,180.7387056517653
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.55,274.3069419156725,1.5658096853185802e+19,0.6331327472358698,0.000752485843166511,0.6331327472358698,179.809700214987,-179.809700214987,179.809700214987
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.6,274.01842315873085,1.5577580647037565e+19,0.6298770867763885,0.0007486164517685583,0.6298770867763885,178.88509264449434,-178.88509264449434,178.88509264449434
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.65,273.7290160297473,1.549744595629312e+19,0.6266368528338067,0.0007447653949704615,0.6266368528338067,177.9648662048011,-177.9648662048011,177.9648662048011
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.7,273.43871182939336,1.541769131600673e+19,0.6234119861732677,0.0007409326023708848,0.6234119861732675,177.049004073208,-177.049004073208,177.049004073208
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.75,273.1475019951098,1.5338315253901992e+19,0.6202024272635006,0.0007371180032162008,0.6202024272635005,176.1374893428342,-176.1374893428342,176.1374893428342
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.8,272.8553781013829,1.52593162906317e+19,0.617008116287328,0.0007333215264129786,0.6170081162873279,175.23030502560115,-175.23030502560115,175.23030502560115
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.85,272.56233186001646,1.5180692940034839e+19,0.6138289931520567,0.0007295431005403338,0.6138289931520566,174.3274340551841,-174.3274340551841,174.3274340551841
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,4.9,272.26835512040225,1.5102443709389816e+19,0.6106649974997181,0.0007257826538620983,0.6106649974997179,173.42885928991996,-173.42885928991996,173.42885928991996
